2016/07/02 19:11:53 experiment close-the-world-open
pct,recall(tpr),fpr,precision,f1score,accuracy
10,0.307,0.498,0.403,0.344,0.479
15,0.332,0.531,0.409,0.362,0.484
20,0.357,0.497,0.453,0.392,0.505
25,0.370,0.494,0.464,0.402,0.512
30,0.410,0.482,0.486,0.438,0.534
35,0.438,0.500,0.497,0.459,0.537
40,0.446,0.528,0.480,0.458,0.540
45,0.468,0.453,0.528,0.489,0.564
50,0.490,0.488,0.523,0.501,0.573
55,0.530,0.511,0.528,0.524,0.577
60,0.549,0.436,0.580,0.559,0.614
65,0.590,0.494,0.558,0.570,0.606
70,0.601,0.501,0.559,0.576,0.612
75,0.634,0.461,0.603,0.611,0.643
80,0.655,0.508,0.578,0.611,0.642
85,0.692,0.486,0.602,0.640,0.654
90,0.713,0.506,0.593,0.645,0.662
95,0.733,0.481,0.614,0.666,0.680
100,0.760,0.455,0.641,0.691,0.695

2016/07/02 19:11:53 experiment perfect
pct,recall(tpr),fpr,precision,f1score,accuracy
0,1.000,0.000,1.000,1.000,1.000
5,1.000,0.000,1.000,1.000,1.000
10,1.000,0.000,1.000,1.000,1.000
15,1.000,0.000,1.000,1.000,1.000
20,1.000,0.000,1.000,1.000,1.000
25,1.000,0.000,1.000,1.000,1.000
30,1.000,0.000,1.000,1.000,1.000
35,1.000,0.000,1.000,1.000,1.000
40,1.000,0.000,1.000,1.000,1.000
45,1.000,0.000,1.000,1.000,1.000
50,1.000,0.000,1.000,1.000,1.000
55,1.000,0.000,1.000,1.000,1.000
60,1.000,0.000,1.000,1.000,1.000
65,1.000,0.000,1.000,1.000,1.000
70,1.000,0.000,1.000,1.000,1.000
75,1.000,0.000,1.000,1.000,1.000
80,1.000,0.000,1.000,1.000,1.000
85,1.000,0.000,1.000,1.000,1.000
90,1.000,0.000,1.000,1.000,1.000
95,1.000,0.000,1.000,1.000,1.000
100,1.000,0.000,1.000,1.000,1.000


2016/07/02 19:11:53 experiment close-the-world-consensus
pct,recall(tpr),fpr,precision,f1score,accuracy
0,0.691,0.154,0.819,0.749,0.789
5,0.656,0.184,0.782,0.713,0.763
10,0.648,0.209,0.757,0.697,0.748
15,0.634,0.235,0.730,0.678,0.738
20,0.635,0.250,0.722,0.674,0.728
25,0.611,0.242,0.724,0.659,0.718
30,0.604,0.257,0.710,0.650,0.713
35,0.603,0.292,0.678,0.637,0.696
40,0.598,0.308,0.666,0.628,0.688
45,0.592,0.308,0.669,0.624,0.684
50,0.579,0.333,0.645,0.606,0.669
55,0.594,0.368,0.630,0.608,0.664
60,0.599,0.304,0.675,0.632,0.686
65,0.602,0.358,0.638,0.617,0.663
70,0.627,0.404,0.617,0.619,0.661
75,0.635,0.381,0.643,0.633,0.676
80,0.652,0.441,0.605,0.626,0.665
85,0.685,0.436,0.625,0.650,0.668
90,0.710,0.465,0.611,0.655,0.678
95,0.728,0.467,0.620,0.667,0.683
100,0.760,0.455,0.641,0.691,0.695

2016/07/02 19:11:53 experiment two-classifier-high-recall
pct,recall(tpr),fpr,precision,f1score,accuracy
0,0.691,0.154,0.819,0.749,0.789
5,0.700,0.209,0.773,0.734,0.771
10,0.709,0.216,0.768,0.737,0.774
15,0.709,0.225,0.760,0.733,0.771
20,0.721,0.214,0.775,0.746,0.778
25,0.708,0.209,0.775,0.739,0.774
30,0.713,0.198,0.785,0.746,0.782
35,0.724,0.214,0.774,0.747,0.782
40,0.729,0.205,0.782,0.754,0.786
45,0.734,0.205,0.784,0.757,0.790
50,0.726,0.210,0.778,0.750,0.786
55,0.730,0.218,0.772,0.750,0.782
60,0.720,0.199,0.786,0.751,0.786
65,0.735,0.215,0.777,0.754,0.786
70,0.735,0.206,0.783,0.758,0.791
75,0.732,0.203,0.785,0.756,0.790
80,0.747,0.212,0.782,0.763,0.795
85,0.763,0.207,0.789,0.775,0.802
90,0.754,0.212,0.782,0.767,0.798
95,0.754,0.207,0.787,0.769,0.799
100,0.755,0.223,0.775,0.764,0.792

2016/07/02 19:11:53 experiment close-the-world-consensus-open
pct,recall(tpr),fpr,precision,f1score,accuracy
0,0.733,1.267,0.366,0.489,0.366
5,0.696,0.515,0.583,0.632,0.644
10,0.691,0.499,0.588,0.633,0.646
15,0.669,0.518,0.571,0.614,0.629
20,0.665,0.485,0.592,0.622,0.641
25,0.623,0.480,0.580,0.596,0.622
30,0.637,0.457,0.595,0.611,0.634
35,0.631,0.488,0.577,0.600,0.620
40,0.625,0.491,0.569,0.594,0.621
45,0.628,0.439,0.600,0.610,0.635
50,0.609,0.444,0.590,0.596,0.628
55,0.642,0.472,0.589,0.611,0.629
60,0.624,0.424,0.606,0.612,0.644
65,0.644,0.468,0.588,0.612,0.625
70,0.654,0.456,0.597,0.622,0.637
75,0.675,0.425,0.630,0.647,0.660
80,0.669,0.435,0.615,0.639,0.653
85,0.706,0.432,0.632,0.664,0.666
90,0.719,0.451,0.621,0.665,0.671
95,0.735,0.424,0.642,0.683,0.685
100,0.759,0.405,0.664,0.705,0.701
